index,glazing,natural_ventilation,shading_devices,daylighting,building_geometry,material_properties,passive_design_strategies,building_orientation,building_form,air-to-water,air-to-air,heat_recovery,heat_transfer,surface,zone,heat_balance,energy_balance,cooling_load,heating_load,energy_storage,building_envelope,thermal_mass,post-occupancy_evaluation,calibrated_simulation,ecm,baseline_models,calibrated_model,performance_measurement_and_verification,coefficient_of_variation,ashrae_guideline_14,time-of-use,electricity_pricing,cost_analysis,energy_price,cost_savings,smart_meters,meter_readings,real-time,control_algorithms,load_profile,historical_data,time-step,weather_data,site,eui,energy_consumption,occupant_behavior,internal_heat_gains,lights,household_appliances,schedule,equipment,ahu,variable_air_volume,constant_air_volume,damper,static_pressure,differential_pressure,noise_level,fan_power,fan_speed,condensing_temperature,compressor_power,condenser_fan_power,mass_flow_rate,inlet_temperature,outlet_temperature,hot_water,set_point,water_temperature,cop,chilled_water,chiller,clothing_insulation,air_speed,mean_radiant_temperature,thermal_comfort,thermal_sensation,thermal_comfort_index,pmv,ppd,heating_degree_days,cooling_degree_days,outdoor_air_temperature,outdoor_temperature,indoor_air_temperature,operative_temperature,wind_direction,wind_speed,carbon_dioxide,dew_point,relative_humidity,dry_bulb_temperature
energy_simulation,0.24412761628627774,0.1965302377939224,0.2380731403827667,0.3798846006393433,0.4998288154602051,0.34575557708740234,0.21058215200901031,0.2565562129020691,0.3680428266525269,,0.14654697477817535,0.19723182916641235,0.258929044008255,0.1541920006275177,0.30327555537223816,0.3457697629928589,0.2352637052536011,0.3233488202095032,0.29777729511260986,0.16962233185768127,0.41284817457199097,0.22155632078647614,0.2601374089717865,0.213143453001976,0.32204461097717285,0.1953611969947815,0.3576675355434418,0.2326931357383728,0.22533933818340304,0.2458266615867615,0.07871368527412415,0.2465308755636215,0.2956268787384033,0.1079113706946373,0.15646424889564514,0.0689607784152031,0.06535466015338898,0.2623421549797058,0.245760440826416,0.19725722074508667,0.2216484546661377,0.2437329888343811,0.4858705401420593,0.1743587851524353,0.16084468364715576,0.461572527885437,0.4177409410476685,0.27638229727745056,0.21332529187202454,0.075079545378685,0.3393629491329193,0.19250908493995667,0.18592026829719546,0.2267442941665649,0.12036986649036407,0.09037773311138153,0.10063733160495758,,,0.1114475429058075,0.05800607055425644,0.07654553651809692,0.0727975070476532,,0.10531605780124664,,0.05333319678902626,0.0925738662481308,0.17637118697166446,,0.19640091061592105,0.12223772704601288,0.1686885952949524,0.13170437514781952,0.19832003116607666,0.19574511051177976,0.3330463469028473,0.2119564116001129,0.2382339835166931,0.2328426241874695,0.21348819136619568,0.17817533016204834,0.12271565943956375,0.17135894298553467,0.13346995413303375,0.21310032904148105,0.17689937353134155,0.1735798418521881,0.1829356551170349,0.1385907530784607,0.12503448128700256,0.19651365280151367,0.19563861191272736
optimization,0.2292751371860504,0.2518010437488556,0.3022706210613251,0.3300190567970276,0.3148539066314697,0.247920960187912,0.2114676833152771,0.34113264083862305,0.3665344417095184,0.0808301642537117,0.1079833060503006,0.31368863582611084,0.3358079791069031,0.24476446211338046,0.2742287516593933,0.21129614114761355,0.31438833475112915,0.2669607400894165,0.2218419909477234,0.3342294692993164,0.4592356085777282,0.2324043959379196,0.07805053889751434,0.0668845996260643,0.2281457781791687,,0.205033615231514,,0.09888119250535964,0.09651851654052734,0.215427041053772,0.16493922472000122,0.24616694450378415,0.2773951888084412,0.3244054913520813,0.1993795931339264,0.0689750611782074,0.411501944065094,0.38455379009246826,0.2953183948993683,0.266394317150116,0.2342595607042313,0.18766328692436215,0.3396161496639252,0.19244730472564694,0.41052630543708796,0.2818670868873596,0.22153392434120175,0.2379682809114456,0.17468379437923431,0.4040770530700684,0.34637358784675604,0.2874240875244141,0.20718736946582794,0.0974910333752632,0.27401381731033325,0.22403767704963684,0.10188676416873932,0.11310476809740068,0.15485548973083496,0.2424474507570267,0.16929036378860474,0.11125538498163223,0.060213826596736915,0.25105440616607666,0.18266761302948,0.1910165101289749,0.22387486696243286,0.3516491651535034,0.2574519515037537,0.3113382458686829,0.27781063318252563,0.3403216004371643,,0.22764426469802854,0.06681065261363983,0.4526652097702026,0.09930912405252457,0.07398444414138794,0.15382800996303558,0.14449545741081238,,,0.16804134845733645,0.20825764536857605,0.3129030764102936,0.13100409507751465,0.1680927723646164,0.21147920191287994,0.20066575706005094,0.15477913618087769,0.21593190729618075,0.10701458156108856
multi-objective_optimization,0.1457468867301941,0.12991583347320554,0.13492245972156525,0.1828901469707489,0.16396301984786987,0.09356296062469482,0.2147088050842285,0.15776440501213074,0.2590556740760803,0.163901686668396,0.19019940495491028,0.2611888945102692,0.1146080195903778,,0.11757910251617433,0.1936594843864441,0.2347865700721741,0.13483083248138428,0.12725085020065308,0.15678749978542328,0.29519253969192505,0.08702694624662399,0.0942106395959854,0.07840827107429504,0.20038318634033206,,0.16953657567501068,,0.11193694174289703,0.08286029100418091,0.09016858041286467,0.08510403335094452,0.24816274642944336,0.14381204545497894,0.2605384886264801,,,0.18950062990188601,0.249995231628418,0.1945664584636688,0.08889371901750565,0.11968496441841125,0.08106329292058945,0.1539362072944641,0.0970657616853714,0.1986914873123169,0.2183101773262024,0.07688925415277481,,0.12481166422367095,0.21354104578495026,0.08881667256355286,0.17706558108329773,0.14360865950584412,,0.10807624459266664,0.07127255201339723,,,0.053208105266094215,0.08645361661911011,0.05456622689962387,0.055050496011972434,0.12136340141296388,0.10076484084129332,0.08283716440200806,0.05561796203255653,0.06441207975149155,0.1822909712791443,0.0719238668680191,0.2302833795547485,0.14718888700008392,0.1647903472185135,0.08244574815034866,0.07895657420158386,0.08341313153505325,0.35598570108413696,0.130889892578125,0.15138041973114014,0.2258029580116272,0.21769854426383967,,,0.05159018188714981,0.05225105583667755,0.1134749948978424,0.08251569420099257,,,0.1025039330124855,0.20592808723449707,0.09094463288784027,0.07552778720855713
data_collection,,,0.09125279635190964,0.15695738792419436,0.13193537294864655,0.158399760723114,,0.1353345662355423,0.10576023161411284,,,0.08602076768875122,0.1258419156074524,0.12701506912708282,0.20944537222385406,0.11538010090589525,0.1029280349612236,0.08052961528301239,0.05475936084985733,0.12868556380271912,0.18379032611846924,,0.2735447883605957,0.08708919584751129,0.14842240512371066,0.08336734771728516,0.14088526368141174,0.1328985095024109,,0.10475685447454453,0.06613371521234512,0.18690204620361328,0.15100520849227905,0.06277864426374435,0.08300774544477463,0.3633782267570496,0.33566057682037354,0.4021481275558472,0.2301138639450073,0.1883980333805084,0.35969942808151245,0.1607009619474411,0.26850616931915283,0.4053178429603577,0.11585403233766554,0.4198564887046814,0.2676273882389069,0.15970586240291595,0.20822446048259732,0.10636884719133376,0.29857760667800903,0.3761383593082428,0.16903339326381686,,,0.06812341511249542,0.0683709979057312,0.09278783202171326,0.08105884492397307,0.05005660280585289,0.10644160956144333,,,,0.06774349510669707,,,0.1167745590209961,0.1466650366783142,0.10606059432029724,0.10901950299739838,,0.13180987536907196,0.13574692606925964,0.17444370687007904,0.08732661604881288,0.2939401268959045,0.2036459594964981,,0.07418353110551834,,,,0.17096146941184998,0.18372249603271484,0.2626982629299164,0.10210303962230682,0.14725132286548615,0.20951485633850095,0.11427149176597595,,0.2511225640773773,0.10461384803056717
measurement,0.2095324695110321,0.07416512817144394,0.12754285335540771,0.2548377513885498,0.07699346542358397,0.3091227114200592,,0.1810903251171112,,,,0.20027786493301392,0.3399813175201416,0.3853158950805664,0.2592338025569916,0.195377379655838,0.18631333112716675,0.14858771860599518,0.15917150676250458,0.17463986575603485,0.26364958286285395,0.11241881549358368,0.10919557511806488,0.11435496807098387,0.09255801141262054,,0.12091848254203795,0.08008760213851929,0.16335821151733398,0.16856646537780762,,,0.05604775995016098,0.07465188205242157,,0.2669892907142639,0.24721288681030276,0.4088001251220703,0.14841324090957642,0.12741990387439728,0.2420297861099243,0.15917932987213135,0.2530398666858673,0.4259262979030609,0.06852351874113083,0.28658705949783325,0.14814382791519165,0.19254666566848755,0.222222164273262,,0.19166351854801175,0.3786707520484924,0.21158581972122192,0.0994524210691452,,0.2397739589214325,0.25569745898246765,0.29618263244628906,0.2806651294231415,0.11251861602067947,0.2011699676513672,,0.05863798037171364,,0.3044447898864746,0.18616072833538053,0.2301168888807297,0.1968696117401123,0.2568018436431885,0.2618618309497833,0.22193683683872226,0.11012815684080124,0.1722082495689392,0.13019412755966187,0.4230313003063202,0.24471820890903476,0.29950475692749023,0.22723400592803955,0.07812834531068802,0.184076726436615,0.1231488585472107,,,0.2776334881782532,0.19679021835327148,0.4932356476783752,0.2448779940605164,0.27442994713783264,0.33488649129867554,0.32055118680000305,0.247159406542778,0.4544550180435181,0.2580534517765045
neural_networks,0.05078304186463356,0.10536053776741028,0.11568760871887207,0.16098245978355408,,0.07637021690607071,,0.05170857533812523,,,,0.07998652756214142,0.0758000835776329,0.08292558789253235,0.07656397670507431,0.09193744510412216,,0.1187419667840004,0.07806526124477386,0.14895299077033994,0.08245964348316193,,0.10592931509017944,,0.13679063320159912,0.07341127842664719,0.10681189596652983,,,0.0639195516705513,,,0.07845975458621979,0.08139006793498993,0.14104226231575012,0.1348813772201538,0.16255724430084229,0.2635778784751892,0.27714985609054565,0.12285056710243225,0.3785243034362793,0.16203366219997406,0.1205609291791916,0.09017490595579147,0.08844105154275894,0.26216864585876465,0.21979427337646484,0.08204960823059082,0.08687709271907806,0.06851507723331451,0.2121495604515076,0.1448550671339035,0.2481892704963684,0.16956612467765808,0.09189146757125853,0.0993773564696312,,,,,,,,,,,,0.05327996611595154,0.13274569809436798,0.1272735744714737,0.14710575342178345,0.09488411992788316,0.16109424829483032,0.07117748260498047,,0.08377516269683838,0.22532975673675534,0.15341947972774506,0.09059448540210724,0.20924870669841766,0.1319177746772766,,,0.07285606116056442,0.14326250553131106,0.16511589288711548,0.06860429793596268,,0.11539276689291,0.13929474353790286,0.0907476544380188,0.17014092206954956,0.1032840758562088
reinforcement_learning,0.10379808396100998,0.12531407177448273,0.08801858127117157,0.09287196397781372,0.09704433381557463,,,0.051272455602884286,,0.07359971106052399,0.08150694519281387,,0.10113300383090973,0.06435145437717438,0.08555670827627182,0.055974788963794715,,0.10295119136571884,,0.12214404344558714,0.0964142456650734,0.07012136280536653,0.0772688090801239,0.11075445264577866,,,0.1170593798160553,0.08246354758739471,0.10875745117664336,0.06636753678321837,0.11043080687522888,0.08188499510288239,,0.13289900124073029,0.11521141231060028,0.13003212213516235,0.050053827464580536,0.17656424641609192,0.21879014372825625,0.0875791609287262,0.20940852165222168,0.12863239645957947,0.05715576559305191,,0.05424579232931137,0.15433524549007416,0.1659696400165558,0.062124185264110565,0.08196161687374115,0.05839265882968904,0.137550950050354,0.1219722330570221,0.17823216319084167,0.1897700130939484,0.09531918168067932,0.11093804240226746,0.1448591947555542,,0.13318388164043427,,0.16299942135810852,,,,,,0.05249785631895065,0.06544452160596848,0.1458580195903778,0.10507228970527648,0.13720209896564484,0.07980605959892273,0.0735192745923996,0.12887541949748993,0.07072585076093674,0.09658397734165193,0.22448676824569705,0.13058805465698242,0.12293381243944168,0.12882928550243378,0.12800928950309753,,,0.06839072704315187,0.12725010514259338,0.1786373108625412,0.11447454988956453,0.07172137498855591,0.07139983773231506,0.07258579879999161,0.10738864541053772,0.12442419677972795,0.0906151831150055
validation,0.1624297946691513,0.2031829059123993,0.1663413643836975,0.2509589493274689,0.17651551961898804,0.27447310090064997,0.10366670787334442,0.1365782916545868,0.08439503610134125,0.06982284039258957,0.13123726844787598,0.21059124171733856,0.3230193853378296,0.25728201866149897,0.3239016532897949,0.2301822006702423,0.2785197496414185,0.2355615198612213,0.18707814812660215,0.15799440443515778,0.2599160671234131,0.11460589617490767,0.13771234452724454,0.1245105192065239,0.18738922476768494,0.14529338479042053,0.36614644527435297,0.11665435880422592,0.27553266286849976,0.25327157974243164,,0.14331844449043274,0.19615700840950007,,0.09076274186372756,0.18181359767913816,0.16213570535182953,0.35916659235954285,0.31559568643569946,0.1799802929162979,0.3187064528465271,0.2593676447868347,0.2819585204124451,0.3071066439151764,0.1651703417301178,0.3719388246536255,0.2132354974746704,0.2184303402900696,0.149383544921875,,0.2976756691932678,0.2565598785877228,0.2638171315193176,0.1462707370519638,0.050926867872476585,0.265897274017334,0.15208905935287476,0.12318195402622226,0.09996381402015686,0.15319645404815674,0.18571612238883967,0.10894361138343812,0.1220378875732422,,0.23961809277534485,0.1642214208841324,0.24658238887786865,0.17629145085811615,0.2349569946527481,0.2000374495983124,0.24160000681877136,0.12868067622184753,0.2196846902370453,0.090139701962471,0.29118704795837397,0.12521901726722715,0.33493101596832275,0.21808475255966187,0.057517599314451225,0.15821024775505066,0.0943126529455185,,,0.2311191260814667,0.2139376401901245,0.3962191939353943,0.1576698124408722,0.1530912220478058,0.22085388004779816,0.10291364789009094,0.13469241559505465,0.25810399651527405,0.14169059693813324
feature_extraction,0.07182890921831131,,0.050117913633584976,0.06299147754907608,0.1403065025806427,0.10625532269477844,0.09866905212402344,0.12964695692062378,0.12947100400924685,,0.06482917070388794,0.11420144140720367,0.08690741658210754,0.0833621695637703,0.07310845702886581,0.0899968147277832,,0.05570320412516594,,,0.13620880246162415,,0.11345519125461577,0.146394282579422,0.16510593891143802,0.05649151653051376,0.20766377449035645,0.06897079199552536,0.10319376736879347,0.12345752120018005,,0.08146581798791885,0.08336939662694931,,,0.10131385177373886,0.2277018129825592,0.22199371457099915,0.16226933896541595,0.1933482587337494,0.286382257938385,0.10259979218244553,0.1291639655828476,0.08369655907154082,0.14348123967647552,0.1945740133523941,0.11178275942802428,0.10488836467266084,0.05306849628686905,0.1111590564250946,0.1724431812763214,0.14915217459201813,0.19684691727161407,0.09688150882720947,0.10512255877256392,,,0.07872439920902252,0.08874307572841644,,,0.12252218276262285,0.05259692668914795,,,,,,0.10105792433023453,,0.07002468407154082,,0.16474805772304535,0.056592393666505814,,,0.11254054307937622,0.08938734233379364,,,,,,0.10506370663642883,0.07782813906669618,0.09765134006738664,,,,,,0.05652022734284401,0.10668620467185974
anomaly_detection,,,,,,,,,,,0.08085599541664124,,,,,,0.06869608908891678,,,0.06581077724695206,,,0.07344105839729309,0.1513042151927948,,0.1535698175430298,0.2025991529226303,0.08767249435186386,0.09312066435813904,0.17915144562721252,,0.08905384689569472,0.06092280149459839,,0.06618732959032059,0.23936864733695984,0.29291778802871704,0.3088893294334412,0.07888761162757874,0.20075425505638125,0.32400959730148315,,,,0.06875645369291307,0.2551814615726471,0.13628163933753967,,,0.1948738992214203,0.15712039172649386,0.13698318600654602,0.15227918326854706,0.0927313268184662,,,0.060291837900877,,0.09130126982927322,0.050511009991168976,,0.05252635106444359,,,0.052576445043087006,,,,,0.0729108452796936,0.08393725752830505,,0.10373620688915253,,,,0.07981378585100174,0.08631297200918198,,,,0.10926896333694458,0.06871791929006578,0.05492191761732101,,,,0.08055725693702698,0.0576387420296669,,0.06813999265432358,,
