index,measurement_and_verification,retro-commissioning,ubem,retrofit_analysis,energy_audit,energy_benchmarking,om,hvac_optimization,district_energy_system,parametric_design,life_cycle_assessment,passive_design,demand_response,renewable_energy,demand_controlled_ventilation,model_predictive_control,fault_detection_and_diagnosis
design-stage,0.12576614320278168,0.15761476755142212,0.13207043707370758,0.2835746705532074,0.16455088555812836,0.1164197027683258,,0.08741523325443268,0.1390535533428192,0.3161325454711914,0.4372466802597046,0.2929737865924835,0.12958675622940066,0.1389908641576767,0.08848440647125244,0.12078787386417388,0.2094314992427826
construction_stage,0.07712533324956894,0.0894719734787941,,0.13120733201503754,0.13943657279014587,0.05579199269413948,0.12415704131126405,,,0.14494112133979795,0.3454475998878479,0.07547197490930557,0.06400780379772186,0.11091497540473938,,,0.10706045478582382
building_commissioning,0.2653191089630127,0.4037649035453797,0.18477460741996765,0.2575935125350952,0.3047813177108765,0.2105820327997208,0.08477839827537538,,0.06407075375318527,0.10469753295183183,0.19710013270378116,,0.0923975110054016,0.1883663833141327,0.16635382175445554,0.18711820244789126,0.3531789183616638
operation_and_maintenance,0.16871967911720276,0.2356683313846588,0.18478965759277344,0.27825236320495605,0.2949677109718323,0.18985122442245486,0.3984586000442505,,0.07174547761678696,0.09680169820785522,0.3165289461612701,0.1879713386297226,0.2651013433933258,0.28781843185424805,0.12273898720741272,0.3439940810203552,0.3294003903865814
building_retrofit,0.14135116338729858,0.11579810082912445,0.2169751524925232,0.4434386491775513,0.2888256907463074,0.22368241846561432,0.06632330268621445,0.1429382711648941,0.11619940400123595,0.13254036009311676,0.21479257941246035,0.15196895599365234,0.2277738004922867,0.18455910682678225,0.14548705518245694,0.1941785216331482,0.16874760389328006
