index,life_cycle_assessment,passive_design,ubem,parametric_design,hvac_optimization,district_energy_system,measurement_and_verification,retro-commissioning,energy_audit,model_predictive_control,demand_response,energy_benchmarking,fault_detection_and_diagnosis,om,demand_controlled_ventilation,renewable_energy,retrofit_analysis
design-stage,0.4372466802597046,0.2929737865924835,0.13207043707370758,0.3161325454711914,0.08741523325443268,0.1390535533428192,0.12576614320278168,0.15761476755142212,0.16455088555812836,0.12078787386417389,0.12958675622940063,0.1164197027683258,0.2094314992427826,,0.08848440647125244,0.1389908641576767,0.2835746705532074
construction_stage,0.3454475998878479,0.07547197490930557,,0.14494112133979797,,,0.07712533324956894,0.0894719734787941,0.13943657279014587,,0.06400780379772186,0.05579199269413948,0.10706045478582382,0.12415704131126404,,0.11091497540473938,0.13120733201503754
building_commissioning,0.19710013270378113,,0.18477460741996765,0.10469753295183182,,0.06407075375318527,0.2653191089630127,0.40376490354537964,0.30478131771087646,0.18711820244789124,0.09239751100540161,0.21058203279972076,0.3531789183616638,0.08477839827537537,0.16635382175445557,0.1883663833141327,0.2575935125350952
operation_and_maintenance,0.31652894616127014,0.1879713386297226,0.18478965759277344,0.09680169820785522,,0.07174547761678696,0.16871967911720276,0.2356683313846588,0.2949677109718323,0.3439940810203552,0.2651013433933258,0.18985122442245483,0.3294003903865814,0.3984586000442505,0.12273898720741272,0.28781843185424805,0.27825236320495605
building_retrofit,0.21479257941246033,0.15196895599365234,0.2169751524925232,0.13254036009311676,0.1429382711648941,0.11619940400123596,0.14135116338729858,0.11579810082912445,0.2888256907463074,0.1941785216331482,0.22777380049228668,0.22368241846561432,0.16874760389328003,0.06632330268621445,0.14548705518245697,0.18455910682678223,0.44343864917755127
